GEOID,MedianRent,OwnerOccupiedHousingUnits,RentedOccupiedHousingUnits,Pop_under_5_years,Pop_above_65_years,BldgPerMile,Total_Workforce,Female_Workforce,Total_housing_units,Single_household_units,Total_population,Income_below_poverty_line,Average_Renter_Household_Size,Rented_Occupied_Housing_Units,Percent_mobile_homes,No schooling completed,Employed_Laborforces,Property Value per Capita,FireStationAccessibility,HospitalAccessibility,PoliceStationAccessibility,NoFuelUsed,Avg_Household_Size
4.81677E+11,868,9,65,0,4,382,378,191,74,30,202,68,3,65,0,0,378,152,8397.340437,6305.575994,23312081.08,0,3
4.81677E+11,955,59,47,32,47,830.7947937,117,51,106,21,296,71,3,47,0,15,117,49,2558.700921,7791.51807,14817980.91,0,3
4.81677E+11,840,112,198,0,206,887.1707873,227,80,310,169,553,218,2,198,0,0,117,550,4479.978164,4107.630728,26488057.24,0,2
4.81677E+11,872,80,184,12,93,308.1152825,266,117,264,126,511,102,2,184,0,13,117,200,3478.228023,5788.111151,19082067.62,9,2
4.81677E+11,1071,318,163,111,162,3866.154071,448,211,481,237,960,109,2,163,0,0,448,135,2612.508661,2226.72036,21343138.13,0,2
4.81677E+11,829,31,353,53,30,3565.171582,374,235,384,228,675,214,2,353,0,0,374,191,927.2483952,1033.815848,19933752.95,4,2
4.81677E+11,823,107,505,166,42,3696.229421,601,321,612,220,1435,494,2,505,0,0,601,112,1331.050812,1491.934565,20454992.94,0,2
4.81677E+11,742,54,148,0,15,2531.731892,245,153,202,73,390,128,2,148,0,24,245,280,977.4335919,609.7911851,19569806.95,9,2
4.81677E+11,912,59,156,0,115,2275.540322,87,27,215,142,288,75,1,156,0,0,87,359,1119.584751,1175.348331,19907945.79,0,1
4.81677E+11,850,46,157,0,20,1965,173,68,203,76,545,240,3,157,0,24,173,282,1726.35872,1408.378413,18845640.46,0,3
4.81677E+11,707,103,174,36,91,4672,186,114,277,148,463,89,1,174,0,0,186,290,1539.571855,1797.990516,19164354.51,0,2
4.81677E+11,955,117,341,58,155,4421,585,353,458,228,1296,529,2,341,0,8,585,134,786.4411733,969.8285416,19756591.69,0,3
4.81677E+11,803,308,198,65,187,3619.661472,580,286,506,203,1287,317,3,198,1,11,580,86,2011.610202,2694.861042,20449815.88,0,3
4.81677E+11,747,129,215,18,159,1941.445644,292,116,344,155,816,234,2,215,0,0,292,186,1395.586349,2171.081305,19395998.08,9,2
4.81677E+11,316,79,293,0,158,931,202,162,372,322,424,223,1,293,0,6,202,188,1542.435002,2423.96349,19622460.72,0,1
4.81677E+11,884,163,100,7,64,1996,326,110,263,60,610,222,4,100,0,7,326,195,1584.397136,2727.8641,19631228.63,0,3
4.81677E+11,944,132,384,10,152,2882,483,213,516,295,871,238,2,384,0,0,483,206,983.4484526,2624.83105,17130929.92,0,2
4.81677E+11,325,31,100,0,8,4778.131713,28,18,131,89,222,121,2,100,0,0,28,385,2299.006121,5458.605824,8312395.116,0,2
4.81677E+11,337,109,349,261,81,126,430,215,458,92,1549,912,4,349,1,10,430,66,1488.724721,4260.156401,12997235.74,9,3
4.81677E+11,730,97,155,70,67,4426,164,56,252,86,536,216,2,155,0,5,164,161,968.619782,3848.333569,16200213.73,0,2
4.81677E+11,789,160,279,83,87,4285,571,360,439,124,1228,432,3,279,0,19,571,98,1667.765799,4516.216503,15762486.49,0,3
4.81677E+11,895,217,153,55,133,1034,398,193,370,153,875,166,2,153,0,0,398,199,1537.28195,3773.019317,18840134.6,0,2
4.81677E+11,702,49,249,81,30,2674,245,110,298,147,599,303,2,249,0,10,245,158,1840.163802,3879.854934,19413049.57,0,2
4.81677E+11,1017,127,164,0,75,3313.394064,291,179,291,89,599,137,2,164,0,0,291,278,2331.490947,4858.40498,16146289.49,0,2
4.81677E+11,879,187,152,69,120,3564,468,232,339,89,753,126,2,152,0,0,468,167,2661.43337,4967.428268,17304013.58,0,2
4.81677E+11,1105,103,70,0,42,4219,274,125,173,18,520,102,3,70,0,3,274,183,2955.409224,4912.653299,18318994.08,0,3
4.81677E+11,741,224,159,74,179,5335.836565,321,149,383,121,845,250,2,159,0,14,321,135,3264.643278,5732.663329,14785702.27,0,2
4.81677E+11,645,109,117,21,63,5018.480755,254,106,226,49,531,36,2,117,0,23,254,212,3619.991505,5823.759655,15921990.64,0,2
4.81677E+11,877,130,116,35,98,4178.018539,245,103,246,96,575,80,2,116,0,0,245,183,3835.001344,5818.530126,17162980.87,0,2
4.81677E+11,1145,171,45,18,81,4733.498498,321,202,216,71,604,91,3,45,0,9,321,146,1881.169403,4815.347265,12688954.61,5,3
4.81677E+11,594,110,147,10,148,5111.449399,173,96,257,94,544,190,2,147,0,55,173,162,2617.529471,5563.900344,11775623.05,0,2
4.81677E+11,737,79,125,64,57,3546,314,147,204,68,541,176,2,125,0,0,314,230,3069.819803,5876.277804,12871929.02,0,3
4.81677E+11,956,76,178,5,95,330.2259776,227,131,254,118,500,82,2,178,0,5,227,143,2324.67327,5819.683147,8640690.666,0,2
